sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10315,Berridale,NSW,1300.0,361.11,270.0,270.0,270.0
SAL10316,Berrigal,NSW,39.0,409.37,275.0,275.0,275.0
SAL10317,Berrigan,NSW,1264.0,1092.67,173.0,173.0,173.0
SAL10318,Berrilee,NSW,212.0,17.44,350.0,350.0,350.0
SAL10319,Berrima,NSW,813.0,80.27,490.0,490.0,490.0
SAL10320,Berringer Lake,NSW,30.0,1.4,360.0,360.0,360.0
SAL10321,Berry,NSW,3098.0,76.78,520.0,520.0,520.0
SAL10322,Berry Jerry,NSW,82.0,275.27,200.0,200.0,200.0
SAL10323,Berry Mountain,NSW,29.0,9.74,660.0,660.0,660.0
SAL10324,Berry Park,NSW,182.0,12.49,307.0,307.0,307.0
SAL10325,Berthong,NSW,65.0,246.16,200.0,200.0,200.0
SAL10326,Beryl,NSW,117.0,100.47,410.0,410.0,410.0
SAL10327,Bethungra,NSW,137.0,447.05,113.0,113.0,113.0
SAL10328,Bevendale,NSW,45.0,339.65,180.0,180.0,180.0
SAL10329,Beverley Park,NSW,2646.0,1.47,540.0,540.0,540.0
SAL10330,Beverly Hills,NSW,10483.0,4.4,460.0,460.0,460.0
SAL10331,Bewong,NSW,80.0,6.26,450.0,450.0,450.0
SAL10332,Bexhill,NSW,528.0,25.83,340.0,340.0,340.0
SAL10333,Bexley,NSW,19646.0,6.38,470.0,470.0,470.0
SAL10334,Bexley North,NSW,4281.0,1.79,450.0,450.0,450.0
SAL10335,Biala,NSW,84.0,282.17,230.0,230.0,230.0
SAL10336,Bibbenluke,NSW,82.0,84.1,195.0,195.0,195.0
SAL10337,Biddon,NSW,123.0,405.92,108.0,108.0,108.0
SAL10338,Bidgeemia,NSW,32.0,349.95,0.0,0.0,0.0
SAL10339,Bidwill (Nsw),NSW,4202.0,2.19,200.0,200.0,200.0
SAL10340,Bielsdown Hills,NSW,104.0,38.66,300.0,300.0,300.0
SAL10341,Big Hill (Nsw),NSW,78.0,274.84,550.0,550.0,550.0
SAL10342,Big Jacks Creek,NSW,61.0,126.05,225.0,225.0,225.0
SAL10343,Big Ridge,NSW,16.0,3.58,0.0,0.0,0.0
SAL10344,Big Springs,NSW,135.0,313.15,150.0,150.0,150.0
SAL10345,Bigga,NSW,268.0,880.58,215.0,215.0,215.0
SAL10346,Bilambil,NSW,441.0,12.32,340.0,340.0,340.0
SAL10347,Bilambil Heights,NSW,3491.0,11.0,470.0,470.0,470.0
SAL10348,Bilbul,NSW,586.0,115.44,280.0,280.0,280.0
SAL10349,Bilgola Beach,NSW,251.0,0.48,1075.0,1075.0,1075.0
SAL10350,Bilgola Plateau,NSW,3650.0,2.01,895.0,895.0,895.0
